v8-version,8,4,371,19,-node.17,0
code-creation,Builtin,3,2825,0x13c5d40,12,ArrayBufferConstructor
code-creation,Builtin,3,2830,0x13c5d60,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,2835,0x13c5d80,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,2839,0x13c5da0,12,ArrayBufferIsView
code-creation,Builtin,3,2843,0x13c5dc0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,2848,0x13c5de0,608,AsyncFunctionEnter
code-creation,Builtin,3,2852,0x13c6060,161,AsyncFunctionReject
code-creation,Builtin,3,2856,0x13c6120,153,AsyncFunctionResolve
code-creation,Builtin,3,2860,0x13c61c0,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,2864,0x13c61e0,1286,AsyncFunctionAwaitCaught
code-creation,Builtin,3,2868,0x13c6700,1286,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,2873,0x13c6c20,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,2877,0x13c6ce0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,2882,0x13c6da0,12,BigIntConstructor
code-creation,Builtin,3,2886,0x13c6dc0,12,BigIntAsUintN
code-creation,Builtin,3,2890,0x13c6de0,12,BigIntAsIntN
code-creation,Builtin,3,2894,0x13c6e00,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,2899,0x13c6e20,12,BigIntPrototypeToString
code-creation,Builtin,3,2903,0x13c6e40,12,BigIntPrototypeValueOf
code-creation,Builtin,3,2908,0x13c6e60,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,2912,0x13c6e80,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,2917,0x13c6ea0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,2921,0x13c6ec0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,2925,0x13c6ee0,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,2930,0x13c6f00,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,2935,0x13c6f20,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,2942,0x13c6f40,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,2946,0x13c6f60,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,2951,0x13c6f80,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,2956,0x13c6fa0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,2960,0x13c6fc0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,2965,0x13c6fe0,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,2970,0x13c7000,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,2974,0x13c7020,12,CallSitePrototypeIsEval
code-creation,Builtin,3,2978,0x13c7040,12,CallSitePrototypeIsNative
